date,industry,job_title,region,job_openings,avg_salary,salary_growth_rate,experience_level,remote_ratio,required_skills,competition_level,automation_risk,growth_score,demand_forecast
2022-01-09,Retail & E-Commerce,Digital Marketing Specialist,Đồng Nai,115,6013.45,4.9,Fresher,31,"Tableau, Customer Journey, Shopify, SQL, Supply Chain, A/B Testing",Medium,High,52.6,Growing
2023-05-03,Healthcare,General Practitioner,Cần Thơ,110,18588.76,3.86,Junior,2,"AI Diagnostics, EMR Systems, Radiology, Medical Coding, Surgery",Low,Low,67.6,Stable
2024-02-25,Healthcare,Healthcare IT Specialist,Cần Thơ,99,24225.14,8.75,Junior,39,"Clinical Research, Surgery",High,High,53.4,Growing
2021-07-06,Finance,Portfolio Manager,Jakarta,66,28689.08,7.69,Junior,48,"Options Pricing, Blockchain, Basel III, Machine Learning, Tableau",Medium,Low,52.9,Growing
2022-07-01,Finance,Quantitative Analyst,Bangkok,97,49619.16,4.68,Senior,59,"Basel III, Power BI, Solidity, Python, Machine Learning",High,High,57.6,Declining
2022-03-01,Technology,QA Engineer,Da Nang,133,11284.28,17.53,Fresher,53,"Spark, Docker, GraphQL, TypeScript",Medium,Medium,64.2,Growing
2023-02-28,Technology,QA Engineer,Hanoi,149,25262.92,18.08,Junior,51,"Spark, Kubernetes, CI/CD, TypeScript, Node.js, Docker",High,High,80.9,Stable
2022-11-14,Retail & E-Commerce,Digital Marketing Specialist,Cần Thơ,130,27777.69,7.3,Senior,45,"CRM, SQL, Email Marketing",High,Medium,79.8,Growing
2023-02-02,Logistics,Freight Broker,Cần Thơ,133,29554.69,7.19,Senior,13,"Freight Forwarding, Excel, SAP WMS, Python, SQL",Low,Medium,48.7,Growing
2024-05-20,Technology,Cloud Architect,Hanoi,179,23276.38,9.91,Junior,79,"AWS, Python, CI/CD, Rust, Spark, GraphQL",Medium,Medium,81.4,Growing
2023-09-09,Healthcare,Clinical Researcher,Bình Dương,116,39006.9,3.28,Senior,6,"SQL, Medical Coding, Radiology, Patient Care, HIPAA Compliance",Low,Medium,73.9,Stable
2023-05-16,Finance,Actuary,Da Nang,76,64161.05,14.87,Senior,30,"SQL, CFA, Machine Learning, FX Trading, Solidity, AML",Medium,High,56.4,Growing
2023-08-08,Retail & E-Commerce,E-Commerce Manager,Đồng Nai,134,20984.91,7.93,Junior,68,"Customer Journey, CRM",High,High,46.9,Growing
2023-04-12,Retail & E-Commerce,Digital Marketing Specialist,TP.HCM,138,3378.94,4.3,Fresher,29,"Shopify, A/B Testing",High,High,43.3,Growing
2022-06-28,Technology,Data Analyst,Da Nang,119,39406.23,7.3,Senior,65,"Python, SQL, MongoDB, Kubernetes, GraphQL, Rust, Redis",High,Low,62.7,Growing
2022-05-12,Logistics,Transportation Engineer,Đồng Nai,88,5519.25,3.82,Fresher,28,"Customs, SQL, Python",Medium,High,69.7,Stable
2022-04-08,Finance,Portfolio Manager,Bangkok,71,31274.19,8.39,Junior,62,"Options Pricing, Financial Modelling, CFA, Solidity",High,Medium,78.7,Growing
2022-02-08,Education,Education Data Analyst,Đồng Nai,66,11750.53,2.47,Junior,52,"Curriculum Development, Video Production, Instructional Design",Low,Medium,44.4,Stable
2021-01-28,Finance,Investment Banker,Manila,76,29167.13,8.91,Junior,64,"Excel, Python, Solidity, Machine Learning",Medium,Medium,56.9,Growing
2023-04-14,Finance,Blockchain Developer,Hanoi,85,52075.32,6.76,Senior,57,"Risk Modeling, Basel III, Excel, Bloomberg Terminal",High,High,71.2,Stable
2022-07-11,Logistics,Procurement Specialist,Đồng Nai,87,15677.64,3.57,Junior,17,"SAP WMS, Excel, Last-Mile Logistics, Customs, SQL",Low,High,59.4,Growing
2024-06-06,Technology,ML Engineer,Hanoi,195,23570.68,11.81,Junior,56,"TensorFlow, Kubernetes, CI/CD, Spark, Docker, Rust",High,Low,65.7,Declining
2022-08-29,Technology,QA Engineer,Bangkok,145,46686.07,19.87,Senior,77,"Machine Learning, Kubernetes, TensorFlow, AWS, Rust",Low,Low,62.0,Growing
2022-11-20,Retail & E-Commerce,Performance Marketing Manager,Hải Phòng,113,18746.24,3.7,Junior,40,"Email Marketing, Tableau, Inventory Management, SQL, Facebook Ads",High,High,53.1,Growing
2022-09-12,Technology,Full Stack Developer,Da Nang,137,9771.14,10.57,Fresher,59,"React, Rust, Redis, SQL",Medium,High,63.1,Growing
2023-07-27,Finance,Quantitative Analyst,Singapore,82,6981.97,7.13,Fresher,34,"Python, Bloomberg Terminal, FX Trading, SQL",High,Medium,53.0,Stable
2022-12-10,Education,Curriculum Designer,TP.HCM,73,7468.9,7.2,Fresher,37,"Learning Analytics, LMS Administration, Curriculum Development, Instructional Design",Medium,High,62.5,Stable
2023-07-30,Technology,Backend Developer,Ho Chi Minh City,162,53566.85,6.97,Senior,46,"Spark, AWS, MongoDB, JavaScript, TensorFlow, Azure, React",High,Low,62.0,Growing
2023-06-27,Healthcare,Clinical Researcher,Đà Nẵng,125,11234.05,4.98,Fresher,4,"Python, HIPAA Compliance, HL7/FHIR",Medium,Medium,62.0,Stable
