date,industry,job_title,region,job_openings,avg_salary,salary_growth_rate,experience_level,remote_ratio,required_skills,competition_level,automation_risk,growth_score,demand_forecast
2022-01-01,Retail & E-Commerce,Growth Hacker,Đà Nẵng,98,10255.46,10.1,Fresher,31,"Facebook Ads, Inventory Management, SQL, Python",Low,Low,56.9,Growing
2022-01-01,Retail & E-Commerce,Customer Success Manager,Cần Thơ,81,8038.21,9.21,Fresher,23,"SQL, Tableau",High,Low,75.3,Growing
2022-01-02,Retail & E-Commerce,Digital Marketing Specialist,Đồng Nai,105,14806.59,5.6,Junior,51,"A/B Testing, Tableau",High,Low,60.2,Growing
2022-01-03,Retail & E-Commerce,Performance Marketing Manager,Đà Nẵng,109,14527.88,11.37,Junior,61,"SEO, CRM, SQL",Medium,Medium,54.6,Stable
2022-01-03,Retail & E-Commerce,CRM Specialist,Đồng Nai,105,31365.0,3.09,Senior,59,"SQL, Python",High,High,49.3,Growing
2022-01-05,Retail & E-Commerce,Merchandising Analyst,TP.HCM,78,9490.02,11.13,Fresher,22,"SEO, SEM, Shopify",Medium,High,64.6,Growing
2022-01-07,Retail & E-Commerce,Store Operations Manager,Cần Thơ,75,29045.3,4.8,Senior,55,"Inventory Management, SEM, SQL",High,High,48.9,Growing
2022-01-09,Retail & E-Commerce,Digital Marketing Specialist,Đồng Nai,115,6013.45,4.9,Fresher,31,"Tableau, Customer Journey, Shopify, SQL, Supply Chain, A/B Testing",Medium,High,52.6,Growing
2022-01-12,Retail & E-Commerce,Category Manager,Hải Phòng,101,32848.83,9.9,Senior,37,"Customer Journey, Excel, Supply Chain",Medium,High,74.5,Stable
2022-01-18,Retail & E-Commerce,Customer Success Manager,TP.HCM,97,31118.31,10.51,Senior,66,"Supply Chain, Tableau, SQL",High,High,60.4,Declining
2022-01-18,Retail & E-Commerce,Data Analyst - Retail,Cần Thơ,96,6549.93,7.7,Fresher,53,"SEM, Facebook Ads, Supply Chain, SQL, Email Marketing",Medium,Low,67.0,Declining
2022-01-18,Retail & E-Commerce,Customer Success Manager,Hải Phòng,114,29070.56,4.49,Senior,24,"Email Marketing, Facebook Ads, Customer Journey, SEO",High,Low,60.9,Growing
2022-01-19,Retail & E-Commerce,Data Analyst - Retail,Đà Nẵng,81,29817.45,12.44,Senior,40,"SEO, SQL, SEM, Email Marketing, Supply Chain, Excel",Medium,Medium,46.4,Growing
2022-01-22,Retail & E-Commerce,E-Commerce Manager,Đồng Nai,124,14779.18,11.16,Junior,35,"Tableau, Supply Chain, Shopify, Customer Journey, A/B Testing",Medium,High,48.7,Declining
2022-01-24,Retail & E-Commerce,Category Manager,Đồng Nai,120,9606.27,10.82,Fresher,66,"Tableau, Python, Shopify",High,Medium,52.2,Stable
2022-01-24,Retail & E-Commerce,Store Operations Manager,TP.HCM,95,27104.37,9.47,Senior,67,"Python, SEM, Inventory Management",High,Medium,51.6,Stable
2022-01-26,Retail & E-Commerce,Growth Hacker,Cần Thơ,109,24593.45,9.9,Senior,43,"Tableau, Shopify, Facebook Ads, Excel",Medium,High,49.5,Growing
2022-01-27,Retail & E-Commerce,Performance Marketing Manager,Đồng Nai,96,6860.83,4.95,Fresher,44,"Shopify, Google Analytics",Medium,High,59.1,Growing
2022-01-27,Retail & E-Commerce,Performance Marketing Manager,Hà Nội,105,11638.92,6.25,Fresher,64,"Tableau, Google Analytics, SEO",Low,Medium,65.5,Declining
2022-01-29,Retail & E-Commerce,Store Operations Manager,Cần Thơ,127,5846.86,6.48,Fresher,49,"Tableau, SQL, SEM, Shopify, Supply Chain",High,Low,67.2,Declining
2022-02-02,Retail & E-Commerce,E-Commerce Manager,Bình Dương,86,27780.44,6.14,Senior,56,"Customer Journey, Tableau, SEO, Excel, SQL, Python",High,Medium,52.1,Stable
2022-02-02,Retail & E-Commerce,Data Analyst - Retail,Hà Nội,106,15161.28,7.4,Junior,60,"Excel, CRM, SEO, Shopify, Google Analytics, Facebook Ads",High,Low,71.9,Declining
2022-02-02,Retail & E-Commerce,Customer Success Manager,Bình Dương,104,25286.67,10.96,Senior,68,"Inventory Management, Shopify",Medium,Low,63.4,Declining
2022-02-02,Retail & E-Commerce,Growth Hacker,Bình Dương,96,27800.17,12.35,Senior,29,"Facebook Ads, A/B Testing, SEM, Inventory Management, Tableau, Customer Journey",Medium,Medium,74.8,Declining
2022-02-03,Retail & E-Commerce,Store Operations Manager,Đà Nẵng,113,12744.76,8.66,Junior,48,"SEO, Tableau, Excel",High,Medium,49.3,Stable
2022-02-03,Retail & E-Commerce,Category Manager,Hà Nội,109,26426.25,7.29,Senior,32,"Supply Chain, Email Marketing, Customer Journey, SEM, Shopify",Medium,High,79.5,Stable
2022-02-03,Retail & E-Commerce,Data Analyst - Retail,Hải Phòng,102,9336.73,4.94,Junior,50,"Customer Journey, Google Analytics, Python",Low,Low,66.0,Stable
2022-02-10,Retail & E-Commerce,UX Designer,Hà Nội,99,26888.62,9.38,Senior,32,"SQL, Supply Chain, Excel",High,High,51.5,Stable
