date,industry,job_title,region,job_openings,avg_salary,salary_growth_rate,experience_level,remote_ratio,required_skills,competition_level,automation_risk,growth_score,demand_forecast
2021-06-03,Healthcare,Clinical Researcher,Hải Phòng,112,35761.12,9.59,Senior,25,"Medical Coding, Python, Surgery",High,Low,75.9,Growing
2021-06-06,Healthcare,General Practitioner,Đà Nẵng,78,38042.23,4.61,Senior,2,"Patient Care, Medical Coding",Low,Low,61.6,Stable
2021-06-07,Healthcare,Physical Therapist,Bình Dương,84,15167.4,4.5,Junior,12,"EMR Systems, Patient Care",Low,Medium,46.8,Stable
2021-06-08,Healthcare,Clinical Researcher,Đà Nẵng,73,16998.33,3.19,Fresher,14,"Data Analysis, HL7/FHIR, Medical Coding, AI Diagnostics, Telemedicine",High,Low,52.8,Growing
2021-06-10,Healthcare,Surgeon,Bình Dương,69,17344.22,9.98,Fresher,21,"Pharmacology, Clinical Research",Medium,Medium,66.4,Growing
2021-06-10,Healthcare,Biomedical Engineer,Cần Thơ,88,11012.78,7.29,Fresher,12,"Surgery, Telemedicine",High,Low,65.4,Declining
2021-06-10,Healthcare,General Practitioner,Đà Nẵng,87,23367.48,5.32,Junior,30,"Data Analysis, Patient Care, HIPAA Compliance",High,Low,51.9,Stable
2021-06-12,Healthcare,Clinical Researcher,Bình Dương,81,20762.23,9.75,Junior,25,"AI Diagnostics, Patient Care, Medical Coding, Data Analysis, SQL",High,Low,56.6,Stable
2021-06-14,Healthcare,Clinical Researcher,TP.HCM,90,9097.85,7.05,Junior,21,"Python, HIPAA Compliance, Data Analysis, AI Diagnostics",Low,Low,60.7,Growing
2021-06-14,Healthcare,General Practitioner,Đồng Nai,71,7847.66,4.32,Fresher,33,"Surgery, Data Analysis",High,Low,67.1,Growing
2021-06-16,Healthcare,Surgeon,Hải Phòng,69,42292.74,6.46,Senior,9,"SQL, HIPAA Compliance",High,Low,64.6,Stable
2021-06-17,Healthcare,Telemedicine Physician,Bình Dương,63,22004.39,8.55,Junior,20,"Clinical Research, Pharmacology",Low,Low,69.3,Stable
2021-06-19,Healthcare,Physical Therapist,Cần Thơ,89,39342.39,9.36,Senior,24,"Surgery, HIPAA Compliance, SQL",High,Low,48.3,Stable
2021-06-23,Healthcare,Physical Therapist,Cần Thơ,78,16363.91,4.02,Junior,37,"SQL, Data Analysis, Radiology, Pharmacology, Medical Coding",High,Medium,71.7,Growing
2021-06-25,Healthcare,Healthcare IT Specialist,Hà Nội,76,34162.77,11.28,Senior,18,"AI Diagnostics, Patient Care, SQL, Radiology, Medical Coding",Medium,Medium,71.0,Growing
2021-06-25,Healthcare,Clinical Researcher,Đồng Nai,70,7737.8,8.98,Fresher,14,"Patient Care, Telemedicine, Pharmacology, SQL, Clinical Research",High,Low,64.7,Growing
2021-06-25,Healthcare,Clinical Researcher,Đồng Nai,76,16974.59,5.04,Fresher,15,"Medical Coding, SQL",Low,Medium,77.7,Stable
2021-06-26,Healthcare,Physical Therapist,Đồng Nai,68,15480.53,6.98,Junior,23,"Data Analysis, Python, HL7/FHIR, Radiology",High,Low,50.5,Growing
2021-06-26,Healthcare,Hospital Administrator,Đồng Nai,84,19179.29,7.96,Junior,22,"Pharmacology, HIPAA Compliance, Surgery, Telemedicine, Data Analysis",Medium,High,56.6,Declining
2021-06-26,Healthcare,Telemedicine Physician,TP.HCM,84,38794.85,8.1,Senior,29,"Clinical Research, Pharmacology, Python, AI Diagnostics",Medium,Low,52.8,Growing
2021-06-27,Healthcare,General Practitioner,Bình Dương,79,24505.84,6.12,Junior,37,"Patient Care, HIPAA Compliance, SQL",Medium,High,76.7,Stable
2021-06-30,Healthcare,Healthcare IT Specialist,Hà Nội,79,9744.74,6.48,Fresher,30,"SQL, Clinical Research",High,Low,50.3,Growing
2021-06-30,Healthcare,Surgeon,TP.HCM,89,11539.98,8.6,Fresher,19,"HIPAA Compliance, AI Diagnostics, Clinical Research",Low,Low,54.1,Declining
2021-07-01,Healthcare,General Practitioner,Hải Phòng,89,42629.23,3.64,Senior,32,"Pharmacology, HL7/FHIR, EMR Systems",High,Low,46.5,Growing
2021-07-02,Healthcare,General Practitioner,Đồng Nai,87,30828.41,4.26,Senior,0,"Patient Care, Medical Coding, Radiology, Data Analysis",High,High,58.5,Growing
2021-07-06,Healthcare,Medical Data Analyst,Đà Nẵng,87,27393.31,6.46,Senior,36,"Surgery, Patient Care",High,Medium,69.7,Growing
2021-07-06,Healthcare,Clinical Researcher,Bình Dương,95,18614.05,8.27,Junior,1,"Medical Coding, HIPAA Compliance, Radiology",High,Low,65.4,Growing
2021-07-06,Healthcare,Healthcare IT Specialist,Đà Nẵng,71,32514.35,4.07,Senior,32,"Medical Coding, SQL",Medium,Medium,76.6,Growing
2021-07-07,Healthcare,Surgeon,TP.HCM,97,16719.26,9.9,Junior,22,"Radiology, Medical Coding, Pharmacology, Patient Care, Python",Low,Medium,47.2,Growing
2021-07-08,Healthcare,Pharmacist,Đà Nẵng,79,9706.33,5.25,Fresher,13,"HIPAA Compliance, Surgery, Pharmacology",Medium,Low,66.5,Stable
2021-07-10,Healthcare,Radiologist,TP.HCM,84,26580.45,3.59,Junior,27,"HIPAA Compliance, Pharmacology",Low,Low,48.0,Growing
2021-07-11,Healthcare,Clinical Researcher,Cần Thơ,74,41146.69,9.93,Senior,15,"HIPAA Compliance, Telemedicine, EMR Systems",High,Medium,74.0,Declining
2021-07-16,Healthcare,Surgeon,Đà Nẵng,78,7545.09,4.24,Fresher,6,"Clinical Research, Patient Care, Pharmacology, AI Diagnostics, SQL",Medium,Low,54.5,Stable
2021-07-17,Healthcare,Radiologist,Bình Dương,79,18416.93,11.25,Junior,7,"Patient Care, Pharmacology, Python, HL7/FHIR",High,High,69.0,Stable
2021-07-21,Healthcare,Nurse Practitioner,Bình Dương,66,12579.61,7.06,Fresher,2,"Python, Surgery, Radiology",Medium,Low,54.8,Stable
2021-07-24,Healthcare,Pharmacist,TP.HCM,75,30431.43,8.97,Senior,8,"Clinical Research, HIPAA Compliance",Medium,Medium,65.6,Growing
2021-07-24,Healthcare,Surgeon,Đồng Nai,87,4368.43,11.24,Fresher,28,"Python, Radiology, HL7/FHIR, Medical Coding, Surgery",High,Low,57.3,Growing
2021-07-25,Healthcare,Physical Therapist,Đà Nẵng,84,11143.47,6.06,Fresher,15,"Surgery, EMR Systems",Medium,Medium,79.4,Stable
2021-07-26,Healthcare,Hospital Administrator,Bình Dương,92,25189.48,9.27,Junior,14,"Python, Patient Care, Medical Coding, Radiology",Medium,Medium,76.3,Growing
2021-07-29,Healthcare,General Practitioner,Đồng Nai,77,38839.37,4.34,Senior,30,"Radiology, Clinical Research, Telemedicine, Python, Surgery",High,Low,82.2,Growing
2021-07-30,Healthcare,Physical Therapist,Hà Nội,84,14358.08,9.96,Junior,14,"HIPAA Compliance, Surgery",Low,Medium,46.6,Declining
2021-07-31,Healthcare,Radiologist,Hải Phòng,81,16801.76,5.59,Fresher,21,"Pharmacology, Radiology",Low,High,65.4,Declining
2021-08-01,Healthcare,Healthcare IT Specialist,Đồng Nai,82,21773.93,7.83,Junior,8,"Radiology, Clinical Research, Surgery, Data Analysis",Medium,Medium,54.5,Growing
2021-08-01,Healthcare,Nurse Practitioner,Hà Nội,77,21469.24,8.64,Junior,20,"HIPAA Compliance, Medical Coding, Clinical Research, Pharmacology, Surgery",High,Medium,78.6,Growing
2021-08-02,Healthcare,Medical Data Analyst,Đà Nẵng,96,43507.19,7.04,Senior,1,"Surgery, SQL, Patient Care, HIPAA Compliance",Medium,Low,60.0,Stable
2021-08-06,Healthcare,Medical Data Analyst,Hải Phòng,73,29827.58,8.21,Senior,16,"SQL, HIPAA Compliance",Medium,Medium,61.1,Declining
2021-08-09,Healthcare,Medical Data Analyst,Hà Nội,83,4041.4,8.79,Fresher,34,"Telemedicine, Surgery, HIPAA Compliance",Medium,Low,78.1,Growing
2021-08-09,Healthcare,Physical Therapist,Đà Nẵng,89,20546.39,7.98,Junior,22,"EMR Systems, Clinical Research",High,Low,68.0,Declining
2021-08-15,Healthcare,Telemedicine Physician,Cần Thơ,72,12635.86,7.3,Junior,15,"HL7/FHIR, Medical Coding, SQL, Radiology",Medium,Low,69.3,Growing
2021-08-20,Healthcare,Hospital Administrator,Đồng Nai,78,17371.34,10.49,Junior,9,"Python, Data Analysis, Surgery, Clinical Research, HIPAA Compliance",Medium,Low,64.0,Declining
2021-08-25,Healthcare,General Practitioner,Hải Phòng,78,6918.99,5.99,Fresher,37,"Python, Telemedicine, Radiology, Data Analysis",Medium,Low,62.9,Stable
2021-08-25,Healthcare,Telemedicine Physician,TP.HCM,86,32796.21,4.0,Senior,17,"Radiology, Pharmacology, EMR Systems, HL7/FHIR",High,Medium,52.9,Growing
2021-08-26,Healthcare,Medical Data Analyst,Đồng Nai,101,4274.53,6.74,Fresher,39,"Radiology, Patient Care, Data Analysis, SQL, Telemedicine",Low,Low,71.0,Growing
2021-08-26,Healthcare,Nurse Practitioner,TP.HCM,97,39777.99,5.48,Senior,9,"Data Analysis, Medical Coding, HL7/FHIR, Radiology, HIPAA Compliance",Medium,Medium,80.5,Stable
2021-08-26,Healthcare,Healthcare IT Specialist,Đồng Nai,87,37640.31,4.81,Senior,32,"Patient Care, AI Diagnostics",Low,Medium,73.0,Growing
2021-08-27,Healthcare,Telemedicine Physician,Hà Nội,83,7857.67,4.82,Fresher,25,"Pharmacology, Data Analysis, HL7/FHIR, EMR Systems, SQL",Medium,Medium,53.5,Growing
2021-08-28,Healthcare,General Practitioner,Bình Dương,75,30014.17,4.35,Senior,6,"Patient Care, AI Diagnostics, Clinical Research",High,Low,59.0,Growing
2021-09-01,Healthcare,Physical Therapist,Bình Dương,68,37100.17,8.05,Senior,25,"Clinical Research, SQL, HL7/FHIR, Surgery",Medium,Low,65.2,Growing
2021-09-01,Healthcare,Healthcare IT Specialist,TP.HCM,102,14766.19,9.21,Junior,9,"Medical Coding, EMR Systems, HL7/FHIR",Medium,Low,68.0,Declining
2021-09-04,Healthcare,Physical Therapist,Hà Nội,86,4057.0,9.76,Fresher,5,"Surgery, Radiology, Patient Care, Data Analysis",High,High,52.6,Growing
2021-09-04,Healthcare,Pharmacist,Cần Thơ,90,16856.59,8.88,Junior,11,"Pharmacology, HIPAA Compliance, Radiology",High,Low,59.4,Growing
2021-09-05,Healthcare,Pharmacist,Cần Thơ,90,36536.81,8.31,Senior,30,"Medical Coding, HIPAA Compliance, Clinical Research, EMR Systems, HL7/FHIR",Low,High,79.6,Stable
2021-09-08,Healthcare,Medical Data Analyst,Đồng Nai,73,33200.91,10.91,Senior,12,"HL7/FHIR, Python",High,Low,50.9,Stable
2021-09-08,Healthcare,Physical Therapist,Cần Thơ,94,19622.06,6.2,Junior,21,"EMR Systems, SQL",Medium,Low,68.8,Stable
2021-09-08,Healthcare,Pharmacist,Đồng Nai,76,11591.09,10.32,Fresher,19,"Radiology, EMR Systems",Medium,Low,51.4,Growing
2021-09-11,Healthcare,Physical Therapist,TP.HCM,77,37943.9,7.97,Senior,38,"Medical Coding, HIPAA Compliance, Patient Care, AI Diagnostics, Data Analysis",High,Low,54.6,Stable
2021-09-12,Healthcare,General Practitioner,Đồng Nai,99,4177.24,11.61,Fresher,27,"SQL, Clinical Research",High,Low,80.0,Stable
2021-09-16,Healthcare,Radiologist,Đà Nẵng,74,4933.43,8.76,Fresher,11,"HL7/FHIR, SQL, Radiology, Python",Medium,Low,69.5,Declining
2021-09-22,Healthcare,General Practitioner,Bình Dương,95,6883.66,3.17,Fresher,2,"Surgery, Clinical Research, Patient Care",Medium,Low,63.2,Declining
2021-09-23,Healthcare,Physical Therapist,Đà Nẵng,91,11919.08,9.93,Fresher,32,"AI Diagnostics, Surgery, Telemedicine, Clinical Research",Medium,Medium,55.7,Growing
2021-09-23,Healthcare,Clinical Researcher,Hà Nội,93,11241.14,10.38,Fresher,35,"HL7/FHIR, Telemedicine, SQL",High,Medium,45.1,Stable
2021-09-24,Healthcare,Nurse Practitioner,TP.HCM,78,38434.11,3.92,Senior,13,"HIPAA Compliance, HL7/FHIR, Python, Data Analysis",Low,Low,67.4,Growing
2021-09-24,Healthcare,Hospital Administrator,Cần Thơ,77,24662.69,7.81,Junior,34,"Clinical Research, HIPAA Compliance, Python, Patient Care, Medical Coding",Medium,High,49.7,Growing
2021-09-27,Healthcare,Clinical Researcher,Đà Nẵng,82,8475.8,4.07,Fresher,40,"HL7/FHIR, EMR Systems, SQL, Surgery",Medium,Low,65.5,Stable
2021-09-29,Healthcare,Healthcare IT Specialist,Đà Nẵng,62,38174.68,4.92,Senior,12,"Data Analysis, Patient Care, Pharmacology, SQL",Low,Low,81.7,Growing
2021-09-29,Healthcare,Medical Data Analyst,Hải Phòng,91,37201.92,8.39,Senior,6,"Pharmacology, Python, Radiology, Medical Coding, EMR Systems",Medium,Medium,54.9,Growing
2021-09-29,Healthcare,Physical Therapist,Bình Dương,84,10879.75,10.19,Fresher,11,"Surgery, Radiology",High,Low,81.3,Growing
2021-09-30,Healthcare,Hospital Administrator,Hải Phòng,78,21245.11,9.17,Junior,31,"HL7/FHIR, AI Diagnostics, Data Analysis",Medium,High,65.5,Stable
2021-10-02,Healthcare,Biomedical Engineer,Hà Nội,86,39462.61,3.07,Senior,37,"Patient Care, Python, AI Diagnostics, SQL",Medium,Low,79.1,Declining
2021-10-02,Healthcare,Physical Therapist,Bình Dương,85,15969.71,3.53,Fresher,12,"SQL, Radiology, EMR Systems",Low,Low,53.1,Growing
2021-10-02,Healthcare,Medical Data Analyst,Hà Nội,83,16992.14,10.85,Junior,22,"HIPAA Compliance, Surgery, Clinical Research",High,Low,71.3,Stable
2021-10-08,Healthcare,Nurse Practitioner,Bình Dương,81,38364.92,4.21,Senior,36,"Telemedicine, AI Diagnostics, Python, Medical Coding, Surgery",Low,Low,56.9,Growing
2021-10-09,Healthcare,General Practitioner,Cần Thơ,92,34702.53,5.4,Senior,30,"EMR Systems, Pharmacology",Low,Low,67.2,Growing
2021-10-12,Healthcare,Healthcare IT Specialist,Cần Thơ,84,10186.33,3.21,Fresher,28,"AI Diagnostics, Data Analysis, Pharmacology",Low,Low,56.1,Stable
2021-10-13,Healthcare,Medical Data Analyst,Đồng Nai,93,37789.1,4.7,Senior,5,"EMR Systems, Surgery",High,Medium,74.1,Growing
2021-10-16,Healthcare,Telemedicine Physician,TP.HCM,75,13457.96,11.57,Junior,34,"EMR Systems, AI Diagnostics, Surgery",High,Low,51.1,Growing
2021-10-19,Healthcare,Telemedicine Physician,Bình Dương,62,15211.72,4.32,Junior,7,"AI Diagnostics, EMR Systems, SQL, Pharmacology",High,Low,69.1,Stable
2021-10-20,Healthcare,Telemedicine Physician,Bình Dương,89,13341.11,5.17,Fresher,9,"SQL, Patient Care, Telemedicine, Data Analysis, HL7/FHIR",Low,Low,79.6,Stable
2021-10-20,Healthcare,Radiologist,Hà Nội,87,21554.67,6.33,Junior,13,"Data Analysis, EMR Systems, HL7/FHIR, Telemedicine",Medium,Low,79.7,Growing
2021-10-20,Healthcare,Hospital Administrator,Cần Thơ,83,8466.99,6.75,Fresher,40,"Telemedicine, EMR Systems, HIPAA Compliance, AI Diagnostics, Clinical Research",High,Low,82.5,Growing
2021-10-22,Healthcare,Hospital Administrator,Đồng Nai,82,39258.23,7.84,Senior,2,"HIPAA Compliance, AI Diagnostics",Low,Medium,70.5,Growing
2021-10-22,Healthcare,Hospital Administrator,Bình Dương,86,36181.35,6.45,Senior,20,"HIPAA Compliance, Surgery, AI Diagnostics, Pharmacology",High,Medium,64.0,Growing
2021-10-24,Healthcare,Radiologist,Bình Dương,80,10028.96,7.1,Fresher,28,"EMR Systems, Patient Care, Radiology, AI Diagnostics, Medical Coding",Medium,Low,57.1,Stable
2021-10-25,Healthcare,Radiologist,Hà Nội,84,40592.2,7.71,Senior,40,"Python, SQL, Telemedicine, Pharmacology",High,Medium,56.2,Stable
2021-10-25,Healthcare,Physical Therapist,Bình Dương,68,19636.46,3.73,Junior,17,"SQL, Python",High,Medium,73.9,Growing
2021-10-28,Healthcare,Medical Data Analyst,Hà Nội,79,4089.4,8.0,Fresher,6,"Pharmacology, Data Analysis, EMR Systems, SQL, Clinical Research",Medium,Medium,69.5,Stable
2021-10-29,Healthcare,Medical Data Analyst,Đồng Nai,96,38199.05,11.7,Senior,24,"Python, Pharmacology, Patient Care, AI Diagnostics",Medium,Low,68.5,Growing
2021-11-02,Healthcare,Pharmacist,Cần Thơ,81,23160.31,8.84,Junior,20,"AI Diagnostics, Python",Medium,Low,47.1,Growing
2021-11-03,Healthcare,General Practitioner,Bình Dương,86,34712.68,8.71,Senior,39,"Medical Coding, Surgery, HL7/FHIR, AI Diagnostics",Medium,Medium,52.6,Stable
2021-11-08,Healthcare,Biomedical Engineer,Đồng Nai,84,29683.93,5.81,Senior,14,"AI Diagnostics, Clinical Research, HL7/FHIR, SQL",Medium,Low,58.0,Growing
2021-11-10,Healthcare,Hospital Administrator,Đà Nẵng,93,22271.52,5.73,Junior,21,"Clinical Research, HL7/FHIR",Medium,Low,61.9,Growing
2021-11-13,Healthcare,Clinical Researcher,Cần Thơ,82,5234.6,11.82,Fresher,5,"SQL, Pharmacology",High,Medium,55.1,Stable
2021-11-13,Healthcare,Telemedicine Physician,Hà Nội,94,40091.61,7.67,Senior,10,"Radiology, EMR Systems, Patient Care",High,Low,48.9,Stable
2021-11-14,Healthcare,Hospital Administrator,Đà Nẵng,87,17783.55,8.36,Junior,4,"Patient Care, Radiology, Telemedicine, Pharmacology",Medium,Medium,76.3,Growing
2021-11-15,Healthcare,Healthcare IT Specialist,Cần Thơ,81,20358.33,8.52,Junior,9,"Patient Care, Surgery, SQL",Medium,Low,54.1,Growing
2021-11-18,Healthcare,Clinical Researcher,TP.HCM,80,15776.94,9.59,Fresher,19,"Radiology, Data Analysis, HL7/FHIR, Patient Care",Medium,High,49.2,Stable
2021-11-18,Healthcare,Medical Data Analyst,Bình Dương,93,32167.9,8.46,Senior,9,"Surgery, Radiology, AI Diagnostics, Medical Coding, EMR Systems",Medium,Low,59.8,Growing
2021-11-20,Healthcare,Surgeon,TP.HCM,77,39559.2,6.01,Senior,11,"HL7/FHIR, Clinical Research",Medium,High,51.1,Growing
2021-11-20,Healthcare,Physical Therapist,Hà Nội,90,12960.62,6.56,Fresher,34,"Patient Care, Radiology, Telemedicine",Medium,Low,46.6,Declining
2021-11-21,Healthcare,Radiologist,Bình Dương,88,13488.48,8.13,Fresher,23,"EMR Systems, SQL, Pharmacology, Medical Coding, AI Diagnostics",High,Medium,70.3,Growing
2021-11-23,Healthcare,Physical Therapist,Bình Dương,82,4105.0,5.17,Fresher,10,"Surgery, Radiology, Python, HIPAA Compliance",High,Medium,75.9,Growing
2021-11-24,Healthcare,Telemedicine Physician,Cần Thơ,88,38637.74,11.17,Senior,5,"Telemedicine, Python, Data Analysis, Medical Coding, Radiology",Medium,Low,48.8,Growing
2021-11-29,Healthcare,Nurse Practitioner,TP.HCM,89,18522.73,5.37,Junior,36,"AI Diagnostics, EMR Systems, Telemedicine",Low,Low,49.9,Stable
2021-11-29,Healthcare,Medical Data Analyst,Bình Dương,100,22839.72,7.93,Junior,28,"EMR Systems, Radiology, HL7/FHIR, HIPAA Compliance",Medium,Medium,67.3,Stable
2021-12-05,Healthcare,Clinical Researcher,Đồng Nai,99,36008.36,7.19,Senior,15,"SQL, Telemedicine, Radiology",Low,High,45.4,Growing
2021-12-05,Healthcare,Medical Data Analyst,Đà Nẵng,94,8640.72,5.46,Fresher,11,"Medical Coding, Radiology, EMR Systems, Clinical Research, Telemedicine",Medium,Low,65.0,Declining
2021-12-06,Healthcare,Radiologist,Đà Nẵng,100,33704.47,8.93,Senior,28,"Telemedicine, Radiology",Low,Low,45.8,Stable
2021-12-07,Healthcare,Telemedicine Physician,Hà Nội,87,16344.73,10.18,Junior,25,"EMR Systems, Surgery, HIPAA Compliance, AI Diagnostics, Telemedicine",High,Low,80.5,Stable
2021-12-08,Healthcare,Nurse Practitioner,Hà Nội,93,32822.39,11.01,Senior,16,"EMR Systems, Data Analysis, HL7/FHIR, Python, AI Diagnostics",Low,Medium,68.8,Growing
2021-12-08,Healthcare,Radiologist,Đà Nẵng,56,22940.82,9.54,Junior,31,"HL7/FHIR, AI Diagnostics, Radiology, Telemedicine",High,High,53.4,Growing
2021-12-10,Healthcare,Physical Therapist,Hà Nội,85,38533.53,10.19,Senior,18,"SQL, Pharmacology",Medium,Low,80.4,Growing
2021-12-11,Healthcare,Pharmacist,Hải Phòng,79,22626.97,6.49,Junior,17,"Surgery, Data Analysis, EMR Systems, Python, Patient Care",Medium,High,59.5,Growing
2021-12-11,Healthcare,Radiologist,Đà Nẵng,63,11021.88,8.13,Fresher,11,"Patient Care, Surgery",Medium,Medium,77.3,Stable
2021-12-15,Healthcare,Pharmacist,Bình Dương,92,41250.02,9.77,Senior,17,"Clinical Research, Radiology",Low,Medium,72.9,Stable
2021-12-17,Healthcare,Nurse Practitioner,Hà Nội,94,16856.48,3.76,Junior,4,"HIPAA Compliance, AI Diagnostics, HL7/FHIR, Patient Care",Medium,Low,61.6,Growing
2021-12-18,Healthcare,Healthcare IT Specialist,Hải Phòng,91,24476.05,7.09,Junior,12,"HIPAA Compliance, Medical Coding",Medium,High,56.5,Declining
2021-12-28,Healthcare,Physical Therapist,Đồng Nai,103,19225.6,3.12,Junior,7,"Clinical Research, Surgery",High,Medium,52.3,Growing
2021-12-29,Healthcare,Pharmacist,Hà Nội,91,45078.94,7.59,Senior,35,"Telemedicine, AI Diagnostics, Patient Care, EMR Systems",High,Low,65.4,Growing
2021-12-29,Healthcare,Nurse Practitioner,Hải Phòng,81,32656.98,3.77,Senior,39,"Clinical Research, HIPAA Compliance, Surgery, Patient Care",High,Low,52.6,Growing
2021-12-31,Healthcare,Physical Therapist,Cần Thơ,96,12853.43,5.57,Fresher,0,"SQL, EMR Systems, HIPAA Compliance, HL7/FHIR",Medium,Medium,58.5,Growing
2022-01-03,Healthcare,General Practitioner,Đồng Nai,99,38492.71,8.02,Senior,19,"Surgery, Pharmacology, Python",High,Low,74.0,Growing
2022-01-03,Healthcare,Clinical Researcher,Cần Thơ,99,5598.88,9.08,Fresher,17,"Python, Clinical Research, EMR Systems, AI Diagnostics",Low,Low,63.7,Growing
2022-01-04,Healthcare,Hospital Administrator,Đà Nẵng,89,24640.22,11.46,Junior,38,"Data Analysis, Clinical Research",Medium,Low,70.1,Growing
2022-01-07,Healthcare,General Practitioner,Hải Phòng,92,23441.19,5.3,Junior,20,"Python, HL7/FHIR, Data Analysis, SQL",High,Low,73.9,Growing
2022-01-09,Healthcare,Surgeon,Đà Nẵng,93,4133.2,3.15,Fresher,38,"HIPAA Compliance, Python",Medium,Medium,56.0,Growing
2022-01-10,Healthcare,Medical Data Analyst,Đồng Nai,94,18916.36,5.13,Junior,38,"EMR Systems, SQL, Surgery, HIPAA Compliance, Clinical Research",Medium,Low,56.3,Growing
2022-01-10,Healthcare,Radiologist,Bình Dương,91,36101.27,4.6,Senior,0,"SQL, HIPAA Compliance, EMR Systems, Python",High,Medium,49.0,Growing
2022-01-11,Healthcare,Healthcare IT Specialist,Bình Dương,81,39379.53,8.17,Senior,26,"Pharmacology, Python",Medium,Low,72.9,Stable
2022-01-11,Healthcare,Pharmacist,Đồng Nai,110,29526.27,4.65,Senior,9,"Python, EMR Systems, SQL",Low,Low,62.8,Stable
2022-01-18,Healthcare,Biomedical Engineer,Bình Dương,84,35645.08,10.48,Senior,7,"Clinical Research, EMR Systems, Pharmacology, AI Diagnostics, Medical Coding",Medium,Medium,59.9,Growing
2022-01-22,Healthcare,Biomedical Engineer,TP.HCM,98,19964.65,10.88,Junior,36,"Surgery, Pharmacology, Data Analysis",High,Medium,69.1,Stable
2022-01-23,Healthcare,Physical Therapist,Hải Phòng,87,9148.82,6.09,Fresher,21,"Pharmacology, Medical Coding",High,Low,59.6,Stable
2022-01-24,Healthcare,Nurse Practitioner,Đồng Nai,80,9398.38,8.13,Fresher,39,"Clinical Research, Telemedicine, Radiology",High,Low,62.7,Stable
2022-01-26,Healthcare,Hospital Administrator,Cần Thơ,78,29180.68,8.51,Senior,39,"HL7/FHIR, Data Analysis",High,High,55.6,Growing
2022-01-27,Healthcare,Healthcare IT Specialist,Đà Nẵng,85,11670.74,7.64,Junior,32,"HIPAA Compliance, Telemedicine",High,High,81.2,Stable
2022-01-29,Healthcare,General Practitioner,Đà Nẵng,96,43161.27,4.88,Senior,1,"Radiology, Medical Coding",Low,High,46.8,Growing
2022-01-30,Healthcare,General Practitioner,Bình Dương,96,18352.32,7.28,Junior,9,"Clinical Research, Medical Coding, Patient Care, Python",High,High,68.6,Growing
2022-02-04,Healthcare,Pharmacist,Bình Dương,89,19356.91,4.67,Junior,26,"HIPAA Compliance, Pharmacology, AI Diagnostics, HL7/FHIR, EMR Systems",Medium,High,50.9,Growing
