date,industry,job_title,region,job_openings,avg_salary,salary_growth_rate,experience_level,remote_ratio,required_skills,competition_level,automation_risk,growth_score,demand_forecast
2022-01-01,Technology,Security Engineer,Singapore,117,9588.09,13.73,Fresher,57,"TensorFlow, Rust, Python, GraphQL",High,Medium,76.5,Stable
2022-01-01,Technology,Security Engineer,Ho Chi Minh City,121,8952.03,14.66,Fresher,68,"SQL, Rust, CI/CD, Kubernetes, React, TensorFlow, Docker",Medium,High,95.9,Stable
2022-01-02,Technology,Product Manager,Manila,121,49528.74,16.58,Senior,86,"Go, Machine Learning, TypeScript, TensorFlow",High,Medium,83.5,Growing
2022-01-04,Technology,Backend Developer,Singapore,146,16673.73,13.32,Fresher,83,"Machine Learning, MongoDB, Rust, AWS, React, GraphQL, Docker",Medium,Low,63.9,Stable
2022-01-05,Technology,Data Scientist,Ho Chi Minh City,123,44141.25,17.33,Senior,98,"GraphQL, Go, Docker, CI/CD, TensorFlow, JavaScript, TypeScript",High,High,68.3,Growing
2022-01-06,Technology,Data Scientist,Hanoi,121,18521.97,9.38,Junior,50,"CI/CD, Rust, GraphQL, SQL, Redis, Machine Learning",High,Medium,57.8,Stable
2022-01-08,Technology,Full Stack Developer,Singapore,121,18798.7,17.67,Junior,51,"Rust, MongoDB, AWS, Go",Low,High,75.8,Growing
2022-01-09,Technology,Data Analyst,Manila,117,49721.18,5.93,Senior,83,"JavaScript, AWS, Redis, Spark",Medium,Low,90.4,Growing
2022-01-13,Technology,Backend Developer,Singapore,126,43083.57,19.23,Senior,70,"TensorFlow, Docker, JavaScript, Azure, Machine Learning, AWS",Medium,Low,94.4,Growing
2022-01-14,Technology,Data Scientist,Hanoi,125,45657.52,8.16,Senior,93,"GraphQL, Node.js, TypeScript, Redis, Go, CI/CD, JavaScript",High,Medium,94.4,Growing
2022-01-16,Technology,Cloud Architect,Ho Chi Minh City,133,33214.16,5.36,Junior,87,"Kubernetes, TypeScript, Docker, CI/CD",High,Medium,57.4,Growing
2022-01-17,Technology,Frontend Developer,Hanoi,135,11188.76,12.99,Fresher,61,"Rust, React, Kubernetes",High,Medium,71.7,Growing
2022-01-19,Technology,Security Engineer,Da Nang,117,19749.36,10.28,Junior,62,"AWS, Redis, Azure, JavaScript, TensorFlow",Medium,Medium,67.4,Declining
2022-01-20,Technology,Security Engineer,Hanoi,121,45730.84,11.12,Senior,92,"Spark, Rust, Kubernetes, JavaScript, Azure, Node.js, CI/CD",High,Medium,87.2,Stable
