date,industry,job_title,region,job_openings,avg_salary,salary_growth_rate,experience_level,remote_ratio,required_skills,competition_level,automation_risk,growth_score,demand_forecast
2022-01-01,Healthcare,Data Analyst,Đà Nẵng,81,29004.93,2.19,Senior,99,"Kubernetes, TensorFlow, Excel, Communication, Machine Learning",High,Low,51.7,Declining
2022-01-01,Retail,ML Engineer,Đồng Nai,78,4000.0,3.08,Fresher,45,"Communication, Python",Low,Medium,58.9,Declining
2022-01-05,Retail,Cloud Architect,TP.HCM,82,36983.26,12.82,Senior,28,"Communication, React, Machine Learning, AWS",High,High,80.4,Stable
2022-01-06,Education,Software Engineer,Hà Nội,84,28231.28,8.01,Senior,60,"JavaScript, Figma, TensorFlow, TypeScript, Power BI, Excel",High,Low,80.3,Stable
2022-01-07,Manufacturing,Product Manager,Cần Thơ,93,30409.01,11.71,Senior,21,"SQL, Excel, Java",Low,Low,67.3,Growing
2022-01-07,Healthcare,ML Engineer,Đà Nẵng,80,30438.6,6.52,Senior,79,"AWS, JavaScript, Docker, SQL, Python, Go",Medium,Low,46.5,Growing
2022-01-10,Education,Product Manager,TP.HCM,73,18095.41,4.72,Junior,49,"Excel, Power BI, Figma, Go, TypeScript, AWS",High,Medium,59.0,Stable
2022-01-20,Education,Business Analyst,Hà Nội,72,24133.25,4.64,Senior,31,"Python, Docker, JavaScript",Medium,Low,20.1,Stable
2022-01-20,Education,Product Manager,Bình Dương,67,16057.93,6.96,Junior,81,"JavaScript, TensorFlow",Medium,Low,38.7,Declining
2022-01-21,Logistics,QA Engineer,Hà Nội,71,30441.36,17.75,Senior,60,"Docker, Python, TypeScript",Medium,High,90.3,Stable
2022-01-23,Manufacturing,ML Engineer,TP.HCM,76,24109.71,3.42,Senior,15,"JavaScript, TensorFlow, Java, Excel",High,High,36.5,Growing
2022-01-24,Technology,Backend Developer,Hải Phòng,84,14964.63,4.81,Junior,58,"AWS, Kubernetes, JavaScript",Low,Medium,88.6,Stable
2022-01-27,Logistics,Business Analyst,Hải Phòng,92,4020.8,17.37,Fresher,34,"TypeScript, Spark, Excel, Go, Python, Docker",Low,High,34.8,Stable
2022-01-27,Technology,DevOps Engineer,Bình Dương,95,14146.7,7.11,Junior,73,"Python, Java, JavaScript, TensorFlow, Agile, SQL",Medium,High,91.3,Declining
2022-01-28,Technology,QA Engineer,Cần Thơ,54,28439.31,15.16,Senior,17,"Docker, JavaScript, Java, AWS, Spark",Low,Medium,47.0,Stable
2022-01-31,Logistics,Data Scientist,Cần Thơ,90,28818.47,10.75,Senior,52,"Agile, Java, React, TensorFlow",Low,Low,52.5,Growing
2022-02-02,Finance,Backend Developer,Hà Nội,75,30470.35,14.14,Senior,63,"Kubernetes, Agile, Communication",Low,High,27.7,Stable
2022-02-03,Healthcare,Data Scientist,Hà Nội,93,33271.33,14.33,Senior,26,"React, TensorFlow, SQL, Spark, Power BI, Communication",Low,High,83.4,Stable
2022-02-03,Education,Software Engineer,Đà Nẵng,88,7714.55,9.63,Fresher,52,"AWS, Spark, SQL",Low,Medium,73.9,Declining
2022-02-10,Healthcare,Data Scientist,Hải Phòng,94,4032.0,4.6,Fresher,6,"Communication, Power BI, Kubernetes, JavaScript, TensorFlow, Excel",Medium,High,20.9,Growing
2022-02-10,Manufacturing,Backend Developer,Hải Phòng,98,29478.6,12.15,Senior,97,"AWS, Communication",Medium,Medium,36.7,Stable
2022-02-11,Education,UX Designer,Hải Phòng,91,15609.55,17.47,Junior,33,"Docker, Java, Python",Medium,Medium,51.3,Declining
2022-02-12,Technology,Business Analyst,Hải Phòng,94,4033.6,14.62,Fresher,50,"Spark, SQL, Communication, Machine Learning, Kubernetes, Figma",High,Medium,69.9,Growing
2022-02-12,Finance,UX Designer,Hải Phòng,88,4033.6,5.59,Fresher,50,"Power BI, Java, JavaScript, TensorFlow, Go, Machine Learning",Medium,Medium,53.9,Growing
2022-02-13,Manufacturing,Cloud Architect,Cần Thơ,74,4034.4,14.86,Fresher,88,"React, Kubernetes, SQL, Machine Learning, Power BI, TypeScript",Low,High,89.7,Declining
2022-02-13,Education,Data Analyst,TP.HCM,72,35500.6,4.87,Senior,83,"Agile, React, TypeScript, Spark, JavaScript, Python",High,Low,72.0,Stable
2022-02-15,Logistics,Software Engineer,TP.HCM,74,11880.46,11.78,Fresher,5,"Kubernetes, TensorFlow, React, SQL, Figma",Low,High,50.8,Declining
2022-02-16,Technology,UX Designer,Cần Thơ,70,6185.01,14.08,Fresher,14,"TypeScript, React",Medium,Medium,66.5,Stable
2022-02-17,Technology,QA Engineer,Đồng Nai,82,7597.21,15.9,Fresher,58,"Machine Learning, Docker",Medium,Medium,62.8,Growing
2022-02-17,Technology,ML Engineer,Đồng Nai,78,12159.18,15.7,Junior,84,"Python, Communication, AWS, Docker",Low,Low,72.6,Stable
2022-02-18,Education,Data Analyst,Bình Dương,83,24049.95,14.19,Senior,20,"AWS, Java",Medium,High,82.5,Growing
2022-02-19,Retail,Data Analyst,Bình Dương,85,27589.95,17.97,Senior,2,"Machine Learning, Figma",Medium,Medium,90.0,Growing
2022-02-20,Retail,UX Designer,Đà Nẵng,81,34192.54,11.0,Senior,22,"TensorFlow, Agile",High,High,91.8,Declining
2022-02-21,Technology,Product Manager,Đồng Nai,70,8504.41,13.65,Junior,5,"Kubernetes, Go, Figma, Spark",Low,Low,57.2,Growing
2022-02-21,Retail,ML Engineer,Đồng Nai,77,8886.16,5.65,Fresher,1,"TypeScript, Docker",Medium,Medium,52.0,Stable
2022-02-22,Finance,Backend Developer,Bình Dương,92,7591.64,2.1,Fresher,77,"JavaScript, SQL, AWS, TensorFlow, Agile, Communication",High,High,41.5,Declining
2022-02-23,Retail,Frontend Developer,Đồng Nai,70,15328.6,14.76,Junior,47,"Machine Learning, Excel, Spark, React, JavaScript, TensorFlow",Low,Medium,31.2,Stable
2022-02-23,Logistics,QA Engineer,Bình Dương,73,27746.15,4.63,Senior,42,"Go, Machine Learning",High,High,81.1,Stable
2022-02-25,Logistics,Product Manager,TP.HCM,77,16447.94,17.94,Junior,25,"Figma, Agile, React, Docker",High,Low,47.6,Growing
2022-02-25,Technology,Cloud Architect,Đà Nẵng,71,25313.17,4.95,Senior,25,"Agile, TypeScript, Kubernetes, TensorFlow, Communication, Java",High,High,87.0,Growing
2022-02-26,Education,Business Analyst,TP.HCM,102,14949.28,15.11,Junior,47,"Java, Machine Learning, Excel",Low,High,86.3,Declining
2022-02-27,Retail,Software Engineer,Bình Dương,95,10371.61,5.41,Junior,21,"Power BI, Figma",High,Medium,22.3,Declining
2022-02-27,Logistics,DevOps Engineer,Hải Phòng,79,28608.87,15.89,Senior,49,"Docker, Spark, TypeScript, Communication",Medium,High,80.4,Declining
2022-03-02,Technology,Product Manager,Hải Phòng,99,10985.63,11.7,Junior,90,"Machine Learning, Excel, Kubernetes",Low,Medium,77.4,Declining
2022-03-04,Technology,UX Designer,Cần Thơ,71,14675.76,14.51,Junior,17,"AWS, Excel, TypeScript, Go, TensorFlow",High,Low,73.2,Stable
2022-03-06,Finance,Data Scientist,Cần Thơ,97,8140.9,11.55,Fresher,62,"Excel, Machine Learning, Power BI, Kubernetes, Java, Go",High,Medium,69.1,Stable
2022-03-08,Logistics,Software Engineer,Đà Nẵng,83,9852.62,2.94,Fresher,37,"Excel, Spark, Go, AWS, Power BI",Low,Medium,45.1,Stable
2022-03-09,Healthcare,QA Engineer,Bình Dương,89,26219.32,3.61,Senior,99,"Figma, Machine Learning, AWS",High,High,38.0,Declining
2022-03-11,Retail,DevOps Engineer,Cần Thơ,77,28122.24,11.75,Senior,15,"TypeScript, JavaScript, SQL, AWS, Go, Communication",High,High,57.7,Stable
2022-03-12,Technology,ML Engineer,Đà Nẵng,85,27935.82,3.97,Senior,92,"Kubernetes, Spark, Java, Machine Learning, Communication, Agile",Medium,Medium,61.9,Declining
2022-03-14,Logistics,UX Designer,Hải Phòng,97,30593.82,12.78,Senior,59,"Figma, TypeScript, Excel, Java, SQL",Medium,Medium,23.9,Growing
2022-03-14,Healthcare,Backend Developer,Hà Nội,78,13334.75,14.93,Junior,93,"Machine Learning, Go",Medium,Medium,77.2,Growing
2022-03-14,Manufacturing,Software Engineer,Đà Nẵng,85,23469.66,11.73,Senior,40,"TensorFlow, Figma, Kubernetes",High,High,77.4,Growing
2022-03-15,Manufacturing,Frontend Developer,TP.HCM,93,18426.35,3.42,Junior,24,"TensorFlow, Python, Machine Learning, Spark",High,Low,56.6,Stable
2022-03-16,Technology,Backend Developer,Đà Nẵng,88,33459.75,15.05,Senior,89,"Spark, JavaScript",Low,Medium,36.8,Growing
2022-03-20,Retail,Data Analyst,Hải Phòng,82,16101.64,7.58,Junior,76,"TensorFlow, Agile, JavaScript, TypeScript, Spark, Communication",High,Low,89.7,Stable
2022-03-21,Healthcare,Business Analyst,TP.HCM,95,10145.6,11.07,Junior,66,"Python, Spark, Go, Figma, JavaScript",Medium,High,75.4,Growing
2022-03-22,Retail,Backend Developer,TP.HCM,84,15859.66,2.67,Junior,80,"Java, Go, SQL",Low,Medium,26.4,Declining
2022-03-23,Healthcare,Data Scientist,TP.HCM,87,11029.18,8.32,Fresher,40,"Communication, Java, TensorFlow, React",Medium,Medium,23.0,Declining
2022-03-25,Finance,DevOps Engineer,Hà Nội,77,10951.24,4.91,Junior,40,"Go, React",Low,Low,88.1,Stable
2022-03-26,Manufacturing,Software Engineer,Đồng Nai,82,10663.11,11.87,Fresher,97,"Communication, JavaScript, Java",Low,High,73.0,Stable
2022-03-27,Finance,Data Analyst,Hải Phòng,80,15238.9,9.77,Junior,26,"Spark, Go, TensorFlow",High,High,39.3,Declining
2022-03-29,Manufacturing,Cloud Architect,Cần Thơ,86,13598.28,14.6,Junior,93,"Docker, TensorFlow, Excel, Python, Power BI, SQL",Medium,High,38.8,Declining
2022-03-30,Finance,Frontend Developer,Cần Thơ,74,29648.04,5.63,Senior,50,"Power BI, Docker",High,Low,82.8,Growing
2022-04-01,Logistics,Frontend Developer,Cần Thơ,77,16090.29,5.17,Junior,40,"Power BI, Python",Low,Medium,62.4,Stable
2022-04-01,Healthcare,Frontend Developer,Bình Dương,75,30468.91,13.22,Senior,94,"Spark, Communication",High,Low,71.0,Stable
2022-04-02,Technology,QA Engineer,Cần Thơ,72,30072.2,14.32,Senior,54,"Kubernetes, AWS, Go, Docker",High,High,80.5,Growing
2022-04-03,Healthcare,Backend Developer,Đà Nẵng,71,30790.68,6.28,Senior,100,"React, Spark, Go, JavaScript, TypeScript",High,High,82.7,Growing
2022-04-04,Retail,ML Engineer,Cần Thơ,81,13643.83,9.35,Junior,23,"TensorFlow, Kubernetes, Docker, TypeScript",Low,Medium,78.9,Stable
2022-04-06,Healthcare,DevOps Engineer,Hải Phòng,87,6639.88,2.33,Fresher,77,"Spark, AWS",High,High,92.7,Declining
2022-04-06,Education,Data Analyst,Bình Dương,83,4076.0,2.59,Fresher,94,"React, JavaScript, Go, Power BI",Low,Medium,38.9,Stable
2022-04-07,Education,Data Analyst,Đồng Nai,74,8629.12,5.21,Fresher,17,"Python, JavaScript",Low,Low,60.2,Growing
2022-04-07,Technology,Frontend Developer,Đà Nẵng,91,5321.76,15.15,Fresher,19,"Java, Kubernetes, TypeScript",Low,Medium,83.8,Stable
2022-04-11,Finance,DevOps Engineer,Hải Phòng,76,5091.89,3.16,Fresher,95,"Spark, TypeScript, Agile, Docker, AWS, Excel",High,High,22.3,Declining
2022-04-12,Finance,Frontend Developer,Đồng Nai,76,29389.36,11.96,Senior,76,"SQL, Docker, AWS, Java, TypeScript, Agile",High,Low,78.6,Growing
2022-04-13,Manufacturing,Frontend Developer,Hà Nội,69,16750.38,17.51,Junior,92,"Figma, React, SQL",Medium,Medium,59.2,Stable
2022-04-15,Healthcare,ML Engineer,Đà Nẵng,93,24681.97,8.15,Senior,70,"Java, React, Communication, Power BI",Low,Low,21.9,Growing
2022-04-15,Healthcare,Data Analyst,TP.HCM,88,12675.2,13.12,Junior,55,"Spark, Excel, Figma, JavaScript, Python",Low,Medium,84.5,Declining
2022-04-17,Healthcare,ML Engineer,TP.HCM,90,13981.26,8.85,Junior,53,"JavaScript, React, Java, Spark, Python",Low,High,73.8,Stable
