date,industry,job_title,region,job_openings,avg_salary,salary_growth_rate,experience_level,remote_ratio,required_skills,competition_level,automation_risk,growth_score,demand_forecast
2021-01-01,Finance,Blockchain Developer,Hanoi,77,37371.06,7.65,Senior,61,"Python, Power BI, Blockchain",Medium,High,75.2,Growing
2021-01-02,Finance,Portfolio Manager,Da Nang,67,24750.71,11.68,Junior,21,"Financial Modelling, AML, Tableau, Solidity, Excel, Machine Learning",High,Medium,69.5,Stable
2021-01-03,Finance,Financial Analyst,Bangkok,75,9422.22,11.64,Fresher,18,"Bloomberg Terminal, Excel, Machine Learning",Low,High,51.8,Stable
2021-01-03,Finance,Blockchain Developer,Ho Chi Minh City,70,13020.85,6.01,Fresher,43,"CFA, Excel, Machine Learning",Medium,High,56.0,Stable
2021-01-04,Finance,Chief Financial Officer,Jakarta,62,14119.66,10.6,Fresher,16,"AML, Options Pricing, Python, Excel, CFA, Risk Modeling",High,High,40.9,Stable
2021-01-04,Finance,Credit Analyst,Jakarta,72,50160.57,6.41,Senior,41,"Basel III, Options Pricing, Machine Learning, AML, Blockchain, Python",High,Medium,71.3,Growing
2021-01-05,Finance,FinTech Developer,Bangkok,63,50078.64,11.2,Senior,21,"Bloomberg Terminal, AML, SQL, Financial Modelling, Blockchain, Machine Learning",High,Medium,58.5,Stable
2021-01-06,Finance,Quantitative Analyst,Manila,81,28620.14,9.21,Junior,64,"AML, Python, FX Trading, Machine Learning",High,Medium,67.2,Growing
2021-01-07,Finance,Quantitative Analyst,Jakarta,76,33391.95,7.84,Junior,41,"Bloomberg Terminal, SQL, Financial Modelling, Tableau, Machine Learning",High,Medium,69.7,Stable
2021-01-07,Finance,RegTech Specialist,Da Nang,72,20883.32,8.16,Junior,44,"Options Pricing, CFA, FX Trading, Tableau, Python",Low,Medium,48.6,Stable
2021-01-09,Finance,Risk Manager,Ho Chi Minh City,63,10621.89,13.37,Fresher,16,"Bloomberg Terminal, CFA, AML",Medium,Medium,53.6,Declining
2021-01-11,Finance,Risk Manager,Hanoi,67,23880.39,4.43,Junior,17,"AML, Python, Solidity, Excel",Medium,Medium,50.2,Stable
2021-01-15,Finance,Credit Analyst,Hanoi,57,55853.06,11.9,Senior,36,"Machine Learning, Excel, SQL, Python",High,High,73.4,Growing
2021-01-16,Finance,Actuary,Da Nang,73,14083.98,9.18,Fresher,59,"Tableau, Financial Modelling, Basel III",Medium,Medium,50.6,Stable
2021-01-17,Finance,Chief Financial Officer,Bangkok,63,5616.13,6.77,Fresher,39,"FX Trading, Blockchain, SQL, Excel, AML, Financial Modelling",High,Medium,64.6,Declining
2021-01-18,Finance,RegTech Specialist,Jakarta,83,46329.28,15.36,Senior,57,"Risk Modeling, Bloomberg Terminal, Excel, Tableau",Medium,Medium,75.4,Stable
2021-01-22,Finance,Chief Financial Officer,Manila,65,50194.15,11.25,Senior,25,"SQL, Excel, CFA",High,High,57.5,Stable
2021-01-23,Finance,Quantitative Analyst,Ho Chi Minh City,68,26077.22,12.03,Junior,23,"Bloomberg Terminal, CFA, Options Pricing, Risk Modeling, Python",High,High,57.4,Stable
2021-01-26,Finance,FinTech Developer,Jakarta,75,32860.67,4.71,Junior,60,"FX Trading, AML, SQL, Solidity, Machine Learning",High,Medium,67.9,Declining
2021-01-27,Finance,Portfolio Manager,Hanoi,59,30225.39,13.85,Junior,41,"Power BI, Solidity, Machine Learning, SQL, Python, Bloomberg Terminal",Medium,Low,67.8,Stable
2021-01-28,Finance,Investment Banker,Manila,76,29167.13,8.91,Junior,64,"Excel, Python, Solidity, Machine Learning",Medium,Medium,56.9,Growing
2021-01-29,Finance,Credit Analyst,Singapore,71,53083.76,7.59,Senior,19,"Machine Learning, Options Pricing, Basel III, SQL, Financial Modelling, Python",High,Medium,79.5,Stable
2021-02-01,Finance,RegTech Specialist,Jakarta,72,11743.49,4.13,Fresher,28,"Basel III, Options Pricing, Machine Learning, SQL, Excel, Bloomberg Terminal",Medium,Medium,75.9,Declining
2021-02-02,Finance,Credit Analyst,Hanoi,71,20172.15,4.39,Fresher,47,"Python, SQL, Financial Modelling, Risk Modeling, Power BI",High,Low,57.9,Growing
2021-02-02,Finance,FinTech Developer,Manila,71,20460.99,14.54,Junior,25,"Options Pricing, CFA, Financial Modelling, Risk Modeling, AML, Power BI",High,Medium,42.2,Stable
2021-02-03,Finance,Risk Manager,Bangkok,87,21844.95,5.86,Junior,20,"AML, Options Pricing, Power BI, Financial Modelling, Bloomberg Terminal, SQL",Medium,Medium,42.9,Growing
2021-02-03,Finance,Financial Analyst,Jakarta,79,10317.13,10.93,Fresher,57,"Excel, SQL, CFA",Medium,High,46.4,Stable
