date,industry,job_title,region,job_openings,avg_salary,salary_growth_rate,experience_level,remote_ratio,required_skills,competition_level,automation_risk,growth_score,demand_forecast
2021-09-03,Education,Learning Experience Designer,Hà Nội,42,6060.16,4.29,Fresher,56,"Instructional Design, Data Analysis",Medium,Low,60.1,Declining
2021-09-05,Education,E-Learning Developer,Đà Nẵng,50,21887.19,8.63,Senior,50,"Video Production, Curriculum Development",Medium,Low,46.7,Declining
2021-09-05,Education,School Principal,TP.HCM,62,14357.45,3.88,Junior,49,"Research, Articulate 360, STEM Teaching, Learning Analytics, Gamification",Low,Low,66.5,Growing
2021-09-07,Education,Education Data Analyst,Cần Thơ,54,24752.41,8.12,Senior,41,"STEM Teaching, Research",High,Medium,33.6,Growing
2021-09-09,Education,Education Data Analyst,Hải Phòng,58,8213.56,8.13,Fresher,63,"Data Analysis, Video Production, Research",Medium,Medium,64.2,Stable
2021-09-12,Education,Curriculum Designer,Hà Nội,50,12781.95,4.81,Junior,78,"LMS Administration, Python, Data Analysis",Low,High,36.0,Declining
2021-09-15,Education,E-Learning Developer,Hải Phòng,67,19951.23,6.4,Senior,33,"Instructional Design, Curriculum Development, Data Analysis, LMS Administration, STEM Teaching",Low,Low,59.4,Stable
2021-09-15,Education,Learning Experience Designer,TP.HCM,52,8984.62,7.17,Fresher,50,"AI Tools, Instructional Design, Data Analysis, Learning Analytics, Python",Medium,Low,39.6,Growing
2021-09-27,Education,Corporate Trainer,Bình Dương,67,9412.92,8.82,Junior,71,"Python, Curriculum Development, Instructional Design, Research",Medium,High,41.7,Stable
2021-10-02,Education,Education Data Analyst,Hà Nội,69,21315.97,8.27,Senior,47,"SCORM, Learning Analytics, AI Tools, LMS Administration, Curriculum Development",Low,Medium,40.5,Stable
2021-10-02,Education,Curriculum Designer,Hà Nội,56,18622.08,4.67,Senior,73,"Gamification, SCORM, Curriculum Development, LMS Administration",Medium,Medium,33.8,Stable
2021-10-03,Education,Learning Experience Designer,TP.HCM,64,7099.42,5.79,Fresher,42,"Research, SCORM, Curriculum Development, Python",High,Medium,38.1,Stable
2021-10-03,Education,EdTech Developer,Cần Thơ,52,20721.89,8.72,Senior,79,"Learning Analytics, AI Tools, Instructional Design",High,Low,69.2,Stable
2021-10-06,Education,School Principal,Hải Phòng,62,21641.66,7.15,Senior,34,"Data Analysis, LMS Administration, Curriculum Development, Video Production",Low,Medium,62.6,Growing
2021-10-09,Education,Academic Researcher,Hải Phòng,74,5272.22,8.13,Fresher,72,"Video Production, Python, Gamification, Instructional Design, Articulate 360",High,Medium,66.7,Declining
2021-10-11,Education,Student Success Manager,Hải Phòng,62,12165.15,2.36,Junior,42,"SCORM, LMS Administration, Research, STEM Teaching, AI Tools",Low,Medium,66.4,Declining
2021-10-12,Education,EdTech Developer,Cần Thơ,68,10762.14,3.05,Junior,63,"AI Tools, Research, Learning Analytics",Medium,Medium,69.1,Stable
