date,industry,job_title,region,job_openings,avg_salary,salary_growth_rate,experience_level,remote_ratio,required_skills,competition_level,automation_risk,growth_score,demand_forecast
2022-03-02,Logistics,Last-Mile Delivery Specialist,Hải Phòng,83,17373.77,9.03,Junior,23,"SQL, Negotiation",High,Medium,54.0,Declining
2022-03-02,Logistics,3PL Account Manager,Đà Nẵng,88,9529.36,6.68,Junior,11,"Supply Chain Management, Excel",Low,Medium,49.9,Growing
2022-03-03,Logistics,Transportation Engineer,Cần Thơ,79,10472.43,7.16,Junior,13,"Customs, Last-Mile Logistics",Medium,High,63.4,Growing
2022-03-05,Logistics,Freight Broker,Đà Nẵng,92,10494.89,5.4,Fresher,1,"Last-Mile Logistics, ERP Systems, Freight Forwarding, Route Optimization, Power BI",Medium,High,59.5,Declining
2022-03-06,Logistics,Logistics Coordinator,TP.HCM,81,15556.47,9.51,Junior,26,"Python, SAP WMS, Excel, Route Optimization",High,High,43.3,Stable
2022-03-08,Logistics,Transportation Engineer,Cần Thơ,81,24491.46,7.62,Senior,4,"IoT Tracking, Cold Chain",Medium,Medium,40.5,Declining
2022-03-08,Logistics,Freight Broker,Hà Nội,92,10550.78,7.58,Junior,20,"Cold Chain, Customs, SAP WMS, Freight Forwarding",Medium,Medium,53.5,Growing
2022-03-10,Logistics,Warehouse Manager,Cần Thơ,88,12724.85,2.27,Junior,6,"Last-Mile Logistics, Excel, Route Optimization, Negotiation",Low,Low,35.8,Stable
2022-03-10,Logistics,Freight Broker,Bình Dương,95,22782.85,8.75,Senior,5,"SQL, ERP Systems, Power BI",Low,Medium,53.7,Growing
2022-03-12,Logistics,Last-Mile Delivery Specialist,Đồng Nai,88,4433.88,8.42,Fresher,9,"SQL, Excel, Last-Mile Logistics, ERP Systems",Medium,High,35.0,Growing
2022-03-13,Logistics,Cold Chain Manager,Bình Dương,86,23325.98,7.39,Senior,2,"Freight Forwarding, Cold Chain, Negotiation, Python, ERP Systems",High,Medium,63.8,Growing
2022-03-14,Logistics,3PL Account Manager,TP.HCM,72,12250.73,7.26,Junior,0,"Python, Power BI, ERP Systems",High,High,64.3,Stable
2022-03-16,Logistics,Last-Mile Delivery Specialist,TP.HCM,82,27109.23,4.68,Senior,14,"Excel, Power BI, Last-Mile Logistics",Low,High,62.3,Stable
2022-03-16,Logistics,Logistics Coordinator,Đồng Nai,97,11129.04,8.46,Junior,18,"Python, Customs, Freight Forwarding",Low,High,57.7,Declining
2022-03-17,Logistics,Fleet Operations Manager,Bình Dương,97,9964.23,5.16,Junior,18,"IoT Tracking, Cold Chain",Medium,Medium,59.2,Stable
2022-03-17,Logistics,Freight Broker,Cần Thơ,104,7506.31,6.2,Fresher,21,"ERP Systems, Customs",Medium,High,59.7,Growing
2022-03-19,Logistics,Warehouse Manager,Bình Dương,107,7305.12,4.34,Fresher,28,"Supply Chain Management, IoT Tracking, SAP WMS",Low,Medium,60.1,Declining
2022-03-21,Logistics,Transportation Engineer,Hải Phòng,89,6181.85,8.63,Fresher,10,"Last-Mile Logistics, SQL",Medium,Low,53.0,Growing
2022-03-22,Logistics,Fleet Operations Manager,Cần Thơ,64,24607.77,7.56,Senior,15,"Supply Chain Management, Last-Mile Logistics",Low,Low,69.1,Stable
2022-03-23,Logistics,Transportation Engineer,Bình Dương,81,6179.42,2.1,Fresher,10,"Route Optimization, Last-Mile Logistics, ERP Systems, SQL, Supply Chain Management",Medium,High,41.4,Growing
2022-03-23,Logistics,Cold Chain Manager,TP.HCM,80,9535.49,8.11,Fresher,30,"Freight Forwarding, Supply Chain Management, Cold Chain",Low,Medium,49.3,Stable
2022-03-24,Logistics,Supply Chain Analyst,Hải Phòng,88,13872.39,7.36,Junior,27,"Power BI, SAP WMS, Last-Mile Logistics, Cold Chain, Supply Chain Management",Medium,High,41.3,Growing
2022-03-26,Logistics,Logistics Coordinator,Hải Phòng,76,24813.85,6.67,Senior,11,"Supply Chain Management, SAP WMS",High,High,52.7,Declining
2022-03-29,Logistics,Customs Officer,TP.HCM,81,12021.47,8.01,Junior,11,"Power BI, Supply Chain Management, IoT Tracking",Medium,High,57.3,Stable
2022-03-30,Logistics,Fleet Operations Manager,Cần Thơ,87,12901.77,7.8,Junior,11,"Cold Chain, Power BI, ERP Systems",Medium,High,62.5,Growing
2022-04-02,Logistics,Logistics Coordinator,Đồng Nai,85,15858.62,2.18,Junior,8,"ERP Systems, Freight Forwarding, SAP WMS, Power BI",High,High,38.6,Stable
2022-04-02,Logistics,Freight Broker,Hà Nội,106,8092.76,3.97,Fresher,1,"Cold Chain, Freight Forwarding, Route Optimization, Excel",Medium,High,68.9,Stable
2022-04-02,Logistics,Warehouse Manager,Cần Thơ,103,14697.52,5.32,Junior,22,"Power BI, Route Optimization, SQL",Low,Medium,38.6,Declining
2022-04-03,Logistics,Logistics Coordinator,Cần Thơ,100,25485.39,6.04,Senior,17,"Power BI, IoT Tracking",Medium,Medium,48.6,Declining
2022-04-03,Logistics,Fleet Operations Manager,Đồng Nai,103,24324.07,6.42,Senior,0,"Freight Forwarding, Route Optimization, Cold Chain",Low,High,43.3,Growing
2022-04-04,Logistics,Fleet Operations Manager,TP.HCM,99,6749.56,8.13,Fresher,1,"Customs, Last-Mile Logistics, Supply Chain Management",High,High,42.3,Growing
2022-04-06,Logistics,Freight Broker,TP.HCM,66,12905.06,3.65,Junior,18,"Last-Mile Logistics, IoT Tracking",Medium,Medium,48.0,Declining
2022-04-08,Logistics,Procurement Specialist,Đồng Nai,93,20736.72,6.15,Senior,22,"SQL, SAP WMS, ERP Systems, Cold Chain",Low,High,53.2,Declining
2022-04-08,Logistics,Procurement Specialist,Đà Nẵng,85,29620.53,6.15,Senior,19,"IoT Tracking, Last-Mile Logistics",Low,High,64.5,Growing
